name,x,y,norm,distinct
flux-sched,-20.98851,28.754097,13.341664064126334,67
fms,-0.1572824,-4.2396016,29.154759474226502,140
fms-jcsda,-10.861161,-25.161638,7.211102550927978,52
fmt,38.397915,-3.5954962,44.46346815083142,739
font-util,-19.480293,-8.059775,22.135943621178654,53
fontconfig,28.438807,17.202028,38.40572873934304,807
form,28.527283,-3.9773703,38.98717737923585,660
fortrilinos,-3.6025417,-53.10579,182.64993840677855,338
fpchecker,-5.2764516,21.682652,18.65475810617763,163
freebayes,12.547274,31.057558,27.331300737432898,314
freefem,-1.678171,51.654156,15.620499351813308,172
freetype,32.026188,7.449049,41.569219381653056,702
freetype-toolfile,11.745096,-23.705656,13.416407864998739,109
frontier-client,37.42529,9.195932,40.36087214122113,689
frontier-client-toolfile,11.6324005,-20.825687,10.44030650891055,109
ftgl,-43.393337,-4.937697,4.358898943540674,4
fujitsu-mpi,-19.742756,-26.722193,15.491933384829668,44
fv3-bundle-env,-34.414818,-0.21861266,1.0,1
fzf,-11.982,-12.753088,5.916079783099616,35
g2,-0.33308256,0.9944305,41.08527716834828,182
g2c,-3.0952373,-25.039595,15.588457268119896,107
g2tmpl,-0.23813544,0.699224,40.23679907746142,180
g4abla,26.97514,-0.7644741,38.98717737923585,660
g4e,-32.197346,-17.005852,3.1622776601683795,5
g4emlow,26.285704,-0.14693715,38.98717737923585,660
g4ensdfstate,27.285423,-2.054034,38.98717737923585,660
g4incl,27.57097,-3.6081629,38.98717737923585,660
g4ndl,25.282696,2.066696,38.98717737923585,660
g4particlexs,26.12282,-0.8616486,38.98717737923585,660
g4photonevaporation,27.451763,0.78618246,38.98717737923585,660
g4radioactivedecay,30.081516,-2.8682795,38.98717737923585,660
g4realsurface,27.66384,-0.44233832,38.98717737923585,660
g4saiddata,29.727821,-1.2149303,38.98717737923585,660
gasnet,3.0436695,-54.144257,199.02009948746382,359
gatk,3.6471179,46.85524,34.48187929913333,470
gaudi,-17.443102,-35.49677,17.291616465790582,94
gawk,-3.875361,16.682594,38.118237105091836,297
gbl,58.882057,-3.1826382,34.45286635390443,655
gcc,5.954647,42.087456,74.24957912338628,685
gcc-compiler-toolfile,11.6324005,-20.825687,10.44030650891055,109
gctf,-23.33923,-20.681257,5.830951894845301,31
gdal,4.1996775,8.34635,20.346989949375804,150
gdb,37.705772,18.281261,80.01249902359005,1033
gdbm,40.69456,16.864462,108.83473710171766,988
gdk-pixbuf,28.980976,-0.5831622,38.98717737923585,660
gdrcopy,-8.120869,19.44438,37.17526059088221,169
geant4,31.385414,-11.339673,43.15089802078283,729
geant4-data,53.98969,-11.242873,18.275666882497067,333
geant4-parfullcms,58.882057,-3.1826382,34.45286635390443,655
geant4data,58.882057,-3.1826382,34.45286635390443,655
